country,region
Afghanistan,Southern Asia
Albania,Central and Eastern Europe
Algeria,Middle East and Northern Africa
Angola,Sub-Saharan Africa
Argentina,Latin America and Caribbean
Armenia,Central and Eastern Europe
Australia,Australia and New Zealand
Austria,Western Europe
Azerbaijan,Central and Eastern Europe
Bahrain,Middle East and Northern Africa
Bangladesh,Southern Asia
Belarus,Central and Eastern Europe
Belgium,Western Europe
Belize,Latin America and Caribbean
Benin,Sub-Saharan Africa
Bhutan,Southern Asia
Bolivia,Latin America and Caribbean
Bosnia and Herzegovina,Central and Eastern Europe
Botswana,Sub-Saharan Africa
Brazil,Latin America and Caribbean
Bulgaria,Central and Eastern Europe
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cambodia,Southeastern Asia
Cameroon,Sub-Saharan Africa
Canada,North America
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Chile,Latin America and Caribbean
China,Eastern Asia
Colombia,Latin America and Caribbean
Comoros,Sub-Saharan Africa
"Congo, Dem. Rep.",Sub-Saharan Africa
"Congo, Rep.",Sub-Saharan Africa
Costa Rica,Latin America and Caribbean
Croatia,Central and Eastern Europe
Cyprus,Western Europe
Czech Republic,Central and Eastern Europe
Denmark,Western Europe
Djibouti,Sub-Saharan Africa
Dominican Republic,Latin America and Caribbean
Ecuador,Latin America and Caribbean
"Egypt, Arab Rep.",Middle East and Northern Africa
El Salvador,Latin America and Caribbean
Estonia,Central and Eastern Europe
Ethiopia,Sub-Saharan Africa
Finland,Western Europe
France,Western Europe
Gabon,Sub-Saharan Africa
Georgia,Central and Eastern Europe
Germany,Western Europe
Ghana,Sub-Saharan Africa
Greece,Western Europe
Guatemala,Latin America and Caribbean
Guinea,Sub-Saharan Africa
Haiti,Latin America and Caribbean
Honduras,Latin America and Caribbean
"Hong Kong SAR, China",Eastern Asia
Hungary,Central and Eastern Europe
Iceland,Western Europe
India,Southern Asia
Indonesia,Southeastern Asia
"Iran, Islamic Rep.",Middle East and Northern Africa
Iraq,Middle East and Northern Africa
Ireland,Western Europe
Israel,Middle East and Northern Africa
Italy,Western Europe
Ivory Coast,Sub-Saharan Africa
Jamaica,Latin America and Caribbean
Japan,Eastern Asia
Jordan,Middle East and Northern Africa
Kazakhstan,Central and Eastern Europe
Kenya,Sub-Saharan Africa
"Korea, Rep.",Eastern Asia
Kosovo,Central and Eastern Europe
Kuwait,Middle East and Northern Africa
Kyrgyz Republic,Central and Eastern Europe
Lao PDR,Southeastern Asia
Latvia,Central and Eastern Europe
Lebanon,Middle East and Northern Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Libya,Middle East and Northern Africa
Lithuania,Central and Eastern Europe
Luxembourg,Western Europe
"Macedonia, FYR",Central and Eastern Europe
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Malaysia,Southeastern Asia
Mali,Sub-Saharan Africa
Malta,Western Europe
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mexico,Latin America and Caribbean
Moldova,Central and Eastern Europe
Mongolia,Eastern Asia
Montenegro,Central and Eastern Europe
Morocco,Middle East and Northern Africa
Mozambique,Sub-Saharan Africa
Myanmar,Southeastern Asia
Namibia,Sub-Saharan Africa
Nepal,Southern Asia
Netherlands,Western Europe
New Zealand,Australia and New Zealand
Nicaragua,Latin America and Caribbean
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Northern Cyprus,Western Europe
Norway,Western Europe
Oman,Middle East and Northern Africa
Pakistan,Southern Asia
Palestinian Territories,Middle East and Northern Africa
Panama,Latin America and Caribbean
Paraguay,Latin America and Caribbean
Peru,Latin America and Caribbean
Philippines,Southeastern Asia
Poland,Central and Eastern Europe
Portugal,Western Europe
Puerto Rico,Latin America and Caribbean
Qatar,Middle East and Northern Africa
Romania,Central and Eastern Europe
Russian Federation,Central and Eastern Europe
Rwanda,Sub-Saharan Africa
Saudi Arabia,Middle East and Northern Africa
Senegal,Sub-Saharan Africa
Serbia,Central and Eastern Europe
Sierra Leone,Sub-Saharan Africa
Singapore,Southeastern Asia
Slovak Republic,Central and Eastern Europe
Slovenia,Central and Eastern Europe
Somalia,Sub-Saharan Africa
Somaliland,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Spain,Western Europe
Sri Lanka,Southern Asia
Sudan,Sub-Saharan Africa
Suriname,Latin America and Caribbean
Swaziland,Sub-Saharan Africa
Sweden,Western Europe
Switzerland,Western Europe
Syrian Arab Republic,Middle East and Northern Africa
Taiwan,Eastern Asia
Tajikistan,Central and Eastern Europe
Tanzania,Sub-Saharan Africa
Thailand,Southeastern Asia
Togo,Sub-Saharan Africa
Trinidad and Tobago,Latin America and Caribbean
Tunisia,Middle East and Northern Africa
Turkey,Middle East and Northern Africa
Turkmenistan,Central and Eastern Europe
Uganda,Sub-Saharan Africa
Ukraine,Central and Eastern Europe
United Arab Emirates,Middle East and Northern Africa
United Kingdom,Western Europe
United States,North America
Uruguay,Latin America and Caribbean
Uzbekistan,Central and Eastern Europe
"Venezuela, RB",Latin America and Caribbean
Vietnam,Southeastern Asia
"Yemen, Rep.",Middle East and Northern Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
