Country Name,Country Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,..,..,..,..,..,..,..,..,..,364.570573,376.7587142,364.095436,389.4163578,397.9859047,440.3681553,444.9501379,524.8235332,553.3002894,569.2333877,630.4274126,633.6584113,630.320014,620.056525,617.8899723,618.33279
Albania,ALB,1420.573288,1547.954353,1764.699296,1937.290072,1738.16646,1906.717261,2177.896633,2337.942386,2547.377316,2663.140477,2827.455778,3001.408618,3189.395111,3383.893726,3610.727554,3775.380988,3928.338638,4094.358832,4210.082199,4276.92155,4327.644518,4413.561583,4524.644432,4683.800213,4868.197347
Algeria,DZA,3259.84368,3164.898577,3223.55756,3297.863375,3281.102139,3397.410198,3457.137046,3541.072037,3600.437254,3754.516275,3974.175032,4091.144235,4273.312751,4282.328231,4359.375748,4390.499633,4386.038896,4463.394675,4504.920098,4564.435017,4596.219627,4675.885024,4759.595242,4827.724251,4825.178585
American Samoa,ASM,..,..,..,..,..,..,..,..,..,10613.91154,10630.45365,10661.17354,10644.58107,10282.45659,10619.61365,10500.38584,10199.06015,10352.82276,10442.7265,10000.31107,9711.112717,9779.883487,9884.111866,9614.472672,..
Andorra,AND,32766.05967,32633.82513,32917.64882,34175.26007,37293.28241,38595.72321,40035.48245,40801.54213,41420.84618,42396.3024,45519.49238,47032.86689,48831.92936,49708.40049,48710.66462,43900.9517,41979.8659,39736.35406,38205.77109,38190.58659,39104.30185,40785.04923,41765.92035,42958.55839,43942.93819
Angola,AGO,1348.484358,1323.34467,1476.231169,1628.994844,1700.391855,1732.471967,1720.825359,1720.411654,1735.521928,1906.529203,1924.286586,2046.826178,2387.825414,2741.712283,3259.232322,3579.702774,3537.619888,3531.416878,3539.543078,3592.623771,3705.255352,3746.660488,3729.003541,3576.186894,3484.599515
Antigua and Barbuda,ATG,10772.02187,11205.82219,10440.70689,10834.62877,11117.09478,11335.12856,11470.9865,11981.91636,11191.10258,11147.26358,11683.46255,12218.74486,12857.1643,14325.48102,15466.9528,15278.87405,13270.6971,12174.69786,11789.79908,12069.81138,11928.21847,12403.52822,12771.76758,13315.50863,13618.3597
Argentina,ARG,7612.681153,7952.711552,7630.022274,7955.127652,8500.940362,8728.947651,8339.894389,8182.686502,7735.493364,6816.734855,7337.792038,7913.743124,8522.522732,9112.113163,9830.68092,10125.12627,9428.502541,10276.2605,10780.01566,10557.88539,10699.19772,10323.20694,10498.59253,10206.24955,10398.09246
Armenia,ARM,886.0327859,956.4708855,1043.543141,1121.881629,1172.136802,1267.575283,1317.741923,1404.321462,1548.075851,1761.888272,2019.984867,2244.220171,2571.985756,2933.833478,3366.162187,3629.157702,3136.811727,3218.381655,3371.672831,3606.480554,3710.575743,3827.343195,3935.288772,3932.554617,4219.368549
Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24271.94042,..,..,..,..,..,..,..
Australia,AUS,36093.5763,37134.41275,38093.45907,39054.47324,40151.82707,41554.11494,43143.58276,44313.31823,44564.97656,45786.64281,46575.41533,47880.61166,48760.35517,49408.05274,50955.05595,51770.90715,51689.91356,51936.88871,52475.66325,53553.23394,54008.70819,54546.20306,55017.24802,55731.49557,55925.93182
Austria,AUT,34941.1434,35643.02768,36537.99304,37346.00743,38084.70138,39405.41603,40727.48494,42001.21116,42370.9316,42859.3294,43052.60307,43956.58266,44637.85641,45951.73469,47510.29379,48053.48308,46123.49069,46858.04327,48065.31671,48172.2377,47901.36543,47922.33985,47905.54315,48077.87836,49129.23366
Azerbaijan,AZE,1760.554651,1394.744209,1216.077917,1219.509349,1277.854124,1392.361194,1482.329773,1633.394435,1781.246395,1955.41315,2158.007171,2357.396026,2949.442818,3923.658154,4851.176909,5262.101356,5639.001689,5842.805784,5770.969703,5820.079847,6078.320649,6122.980489,6117.030862,5861.511962,5805.134535
"Bahamas, The",BHS,25929.35258,26287.30994,27021.62398,27801.66246,28060.56751,29071.01194,30775.25652,31587.59103,31856.08584,32080.35346,31013.63921,30629.72917,31023.04722,31180.61512,31031.231,29758.2498,28019.14864,27979.11493,27710.10196,28145.35866,27643.39521,27246.48486,27198.9076,26439.05364,26538.94563
Bahrain,BHR,22217.91332,21623.01568,21910.23988,22220.68291,22281.79511,22634.88847,22760.98699,22955.09349,22416.08185,22038.3312,22058.76333,22144.47339,22066.07113,21796.01514,21838.07457,21563.65067,20797.00522,20722.10389,20514.75639,20921.19971,21799.65217,22390.68285,22436.20753,22291.40425,22111.47724
Bangladesh,BGD,426.3094413,433.4123441,445.9189173,456.2377101,466.7725442,480.8688331,493.2552199,509.2934347,525.0721107,535.2467234,550.8628057,570.336736,598.6174259,630.04818,666.4014472,698.564892,725.76626,757.6717572,797.4116804,839.5136872,879.5819661,922.161128,971.641988,1029.577979,1093.049274
Barbados,BRB,12559.30509,12990.83456,13203.44163,13680.82333,14270.00273,14742.49,14747.96111,15035.4474,14629.16632,14703.12531,14983.54393,15146.96991,15700.07264,16532.82987,16762.70906,16708.74022,15974.09087,15959.02979,16011.6377,16003.55202,15951.20932,15901.90093,15998.0488,16273.40659,16503.47836
