year_of_assessment,assessed_income_group,resident_type,number_of_taxpayers,assessable_income,chargeable_income,net_tax_assessed
2004,"20,000 & below",Tax Resident,0,0,na,0
2004,"20,001 - 25,000",Tax Resident,23642,547350,na,1647
2004,"25,001 - 30,000",Tax Resident,58949,1644865,na,7253
2004,"30,001 - 40,000",Tax Resident,162886,5660830,na,40228
2004,"40,001 - 50,000",Tax Resident,118787,5303048,na,63227
2004,"50,001 - 60,000",Tax Resident,76353,4174181,na,75096
2004,"60,001 - 70,000",Tax Resident,52662,3408958,na,82894
2004,"70,001 - 80,000",Tax Resident,38303,2860025,na,84737
2004,"80,001 - 100,000",Tax Resident,47494,4242451,na,156686
2004,"100,001 - 150,000",Tax Resident,54054,6538727,na,367465
2004,"150,001 - 200,000",Tax Resident,22319,3871033,na,316343
2004,"200,001 - 300,000",Tax Resident,19424,4713678,na,501379
2004,"300,001 - 400,000",Tax Resident,7617,2630752,na,332514
2004,"400,001 - 500,000",Tax Resident,3402,1518089,na,213131
2004,"500,001 - 1,000,000",Tax Resident,4241,2829442,na,432151
2004,"1,000,001 & above",Tax Resident,1466,2946773,na,386214
2004,"20,000 & below",Non-Tax Resident,18708,99583,na,15815
2004,"20,001 - 25,000",Non-Tax Resident,718,16093,na,2696
2004,"25,001 - 30,000",Non-Tax Resident,577,15793,na,2649
2004,"30,001 - 40,000",Non-Tax Resident,772,26727,na,4490
2004,"40,001 - 50,000",Non-Tax Resident,537,24000,na,3997
2004,"50,001 - 60,000",Non-Tax Resident,367,20070,na,3244
2004,"60,001 - 70,000",Non-Tax Resident,269,17382,na,2832
2004,"70,001 - 80,000",Non-Tax Resident,208,15580,na,2456
2004,"80,001 - 100,000",Non-Tax Resident,282,25100,na,4100
2004,"100,001 - 150,000",Non-Tax Resident,432,52208,na,7798
2004,"150,001 - 200,000",Non-Tax Resident,155,26871,na,3907
2004,"200,001 - 300,000",Non-Tax Resident,131,31604,na,4366
2004,"300,001 - 400,000",Non-Tax Resident,40,13447,na,1641
2004,"400,001 - 500,000",Non-Tax Resident,12,5426,na,682
2004,"500,001 - 1,000,000",Non-Tax Resident,21,13793,na,1744
2004,"1,000,001 & above",Non-Tax Resident,15,35940,na,3969
2005,"20,000 & below",Tax Resident,0,0,na,0
2005,"20,001 - 25,000",Tax Resident,18882,439742,na,1396
2005,"25,001 - 30,000",Tax Resident,58095,1623091,na,7063
2005,"30,001 - 40,000",Tax Resident,166813,5801353,na,42051
2005,"40,001 - 50,000",Tax Resident,120372,5380039,na,65822
2005,"50,001 - 60,000",Tax Resident,79031,4319462,na,78735
2005,"60,001 - 70,000",Tax Resident,54128,3497983,na,85934
2005,"70,001 - 80,000",Tax Resident,39759,2973291,na,89886
2005,"80,001 - 100,000",Tax Resident,50461,4493992,na,168294
